city,Crape myrtle,Mexican fan palm,Other,Queen palm,Southern magnolia,ok to plant vacant
Anaheim,3320,4379,65678,1706,4568,0
Fresno,0,0,6761,0,0,0
Garden Grove,2355,595,12980,897,695,0
Huntington Beach,3813,4037,42997,4681,299,0
Irvine,0,542,57278,14,530,0
Los Angeles,34729,37971,480539,10696,30988,113631
Ontario,4630,1584,49319,2109,935,0
Rancho Cucamonga,12877,0,67701,0,0,0
Sacramento,0,1535,84505,0,1151,0
San Diego,2207,11586,175887,22624,0,0
San Francisco,99,967,165427,978,6219,0
Santa Rosa,0,0,1556,0,0,0
Stockton,7368,780,85054,743,3762,0
